Sample,Species,Flipper_Length_mm,Body_Mass_g,Gender,Individual_ID,Region,Island
1,Adelie,181,3750,MALE,N1A1,Anvers,Torgersen
6,Adelie,190,3650,MALE,N3A2,Anvers,Torgersen
8,Adelie,195,4675,MALE,N4A2,Anvers,Torgersen
14,Adelie,191,3800,MALE,N7A2,Anvers,Torgersen
15,Adelie,198,4400,MALE,N8A1,Anvers,Torgersen
18,Adelie,197,4500,MALE,N9A2,Anvers,Torgersen
20,Adelie,194,4200,MALE,N10A2,Anvers,Torgersen
22,Adelie,180,3600,MALE,N11A2,Anvers,Biscoe
24,Adelie,185,3950,MALE,N12A2,Anvers,Biscoe
25,Adelie,180,3800,MALE,N13A1,Anvers,Biscoe
27,Adelie,183,3550,MALE,N17A1,Anvers,Biscoe
30,Adelie,180,3950,MALE,N18A2,Anvers,Biscoe
32,Adelie,178,3900,MALE,N21A2,Anvers,Dream
34,Adelie,184,3900,MALE,N22A2,Anvers,Dream
36,Adelie,196,4150,MALE,N23A2,Anvers,Dream
37,Adelie,190,3950,MALE,N24A1,Anvers,Dream
40,Adelie,184,4650,MALE,N25A2,Anvers,Dream
42,Adelie,195,3900,MALE,N26A2,Anvers,Dream
44,Adelie,196,4400,MALE,N27A2,Anvers,Dream
46,Adelie,190,4600,MALE,N28A2,Anvers,Dream
47,Adelie,182,3425,MALE,N29A1,Anvers,Dream
48,Adelie,179,2975,MALE,N29A2,Anvers,Dream
50,Adelie,191,4150,MALE,N30A2,Anvers,Dream
52,Adelie,188,4300,MALE,N21A2,Anvers,Biscoe
54,Adelie,200,4050,MALE,N22A2,Anvers,Biscoe
56,Adelie,191,3700,MALE,N23A2,Anvers,Biscoe
58,Adelie,193,3800,MALE,N24A2,Anvers,Biscoe
60,Adelie,194,3750,MALE,N25A2,Anvers,Biscoe
62,Adelie,195,4400,MALE,N27A2,Anvers,Biscoe
64,Adelie,192,4050,MALE,N28A2,Anvers,Biscoe
66,Adelie,192,3950,MALE,N29A2,Anvers,Biscoe
68,Adelie,188,4100,MALE,N30A2,Anvers,Biscoe
70,Adelie,198,4450,MALE,N32A2,Anvers,Torgersen
72,Adelie,190,3900,MALE,N34A2,Anvers,Torgersen
74,Adelie,197,4150,MALE,N35A2,Anvers,Torgersen
76,Adelie,195,4250,MALE,N36A2,Anvers,Torgersen
78,Adelie,184,3900,MALE,N37A2,Anvers,Torgersen
80,Adelie,195,4000,MALE,N38A2,Anvers,Torgersen
82,Adelie,196,4700,MALE,N39A2,Anvers,Torgersen
84,Adelie,193,4200,MALE,N40A2,Anvers,Torgersen
